naam,zie,betekenis
Grote Arcana,,"de grote geheimen van het leven, elke kaart is een archetype/persoonlijkheid"
Grote Arcana 1-10,,verwerven van eigenschappen en innerlijke kwaliteiten
Grote Arcana 11-20,,leren omgaan met de ervaringen die het leven brengt
Kleine Arcana,,geheimen van het alledaagse leven
,,
nummerkaart,,dingen die je zelf in de hand hebt
hofkaart,,invloeden (van/naar je omgeving)
,,
Staven,,"geest, intuïtie/ideeën, vuur, boeren/arbeiders"
Pentakels,V,"thuis, zintuigen/praktisch, aarde, ambachtslieden/handelaars"
Zwaarden,,"verstand, denken, lucht, adel"
Kelken,,"hart, emotie, water, geestelijkheid/staatslieden"
,,
staf,staven,
Pentakel,pentakels,
zwaard,zwaarden,
Kelk,kelken,
,,
klavers,staven,
ruiten,pentakels,
schoppen,zwaarden,
harten,kelken,
,,
,,
O,,"leegte, alomvattendheid, kosmische invloed"
I,,"eenheid, oorsprong, potentie"
II,,"spiegelbeeld, dualiteit"
III,Drie-eenheid,"vruchtbaarheid, overvloed, gilden: leerling"
IV,"elementen, aarde","standvastig, rechtvaardig, materie"
V,zintuigen,"doorzetten, zoeken, moraal, gilden: gezel"
VI,,"verantwoordelijkheid, dienstvaardigheid, perfectie"
VII,,"heelheid, toeval, gilden: meester"
VIII,,"crisis, gevaar, karma, promiscu"
IX,,"vervulling, horizon, gilden: bouwmeester"
X,,"overgang, einde=begin"
XI,,"openbaring, inspiratie"
XII,,"volledigheid, perfectie, deelbaarheid"
XXII,,de bouwmeester
,,
aas,I,
page,jonge man,"boodschapper, nieuwsgierig, kans"
ridder,,"strijder, werker, beschermen van zwakkeren "
koningin,volwassen vrouw,"wijsheid, volwassenheid"
koning,volwassen man,"gezag, competentie"
,,
aarde,,vruchtbaarheid
adept,monnik,
afgewend,,terugblikken
altaar,,religie
ankh,scepter,eeuwig leven
ankh,jakhalsgod,
appelboom,,"boom van kennis (van goed en kwaad), bewustzijn"
arcana,,geheimen
arend,"water, feniks",god ziet de mens
aureool,,"diepe trance, verandering in bewustzijn"
baldakijn,troonhemel,
bel,,"melaatsheid, ziekte"
berg,,"standvastigheid, aarde, mystieke reis"
bergtop,berg,plaats dicht bij god
bisschop,geestelijke,uiterlijke religie
blaadjes,yod,
blauw,,"rust, vrede, intelligentie, stabiliteit, loyaal, conservatief"
blauw kleed,blauw,
bliksem,,"goddelijke communicatie, vernietiging"
blinddoek,,"onwetendheid, verblinding, overgeleverd zijn aan het lot"
